Numero de catalogacao(HIP),Ascensao  reta(alpha),Declinacao (delta),Magnitude visual(V),Real ID(HIP)
88601,271.36338682,2.50243928,4.03,88601
88635,271.45218586,-30.42365007,2.98,88635
88657,271.50795297,22.21889206,4.96,88657
88714,271.65782832,-50.09145462,3.65,88714
88726,271.70785224,-43.42496169,4.92,88726
88765,271.82647643,8.73379361,4.64,88765
88771,271.8375861,9.56365345,3.71,88771
88794,271.88562824,28.76247025,3.84,88794
88839,272.02067917,-28.45701627,4.55,88839
88866,272.14496186,-63.66804844,4.33,88866
88886,272.1895526,20.81457203,4.37,88886
89112,272.80740093,-45.95432704,4.52,89112
89153,272.93053328,-23.70116777,4.96,89153
89172,272.97569523,31.4052884,4.96,89172
89341,273.44086963,-21.05883031,3.84,89341
89348,273.4723271,64.39719935,4.99,89348
89642,274.4072049,-36.76128103,3.1,89642
89678,274.51328312,-27.04263452,4.66,89678
89826,274.96550503,36.06444696,4.33,89826
89861,275.0745983,21.9614409,4.92,89861
89908,275.18933831,71.33772734,4.22,89908
89918,275.21692548,3.37714467,4.85,89918
89931,275.24842337,-29.82803914,2.72,89931
89937,275.25974572,72.73369763,3.55,89937
89962,275.32883578,-2.897122,3.23,89962
90098,275.80675239,-61.49390506,4.35,90098
90135,275.91480755,-8.93451038,4.66,90135
90139,275.92402821,21.77034249,3.85,90139
90156,275.97770388,58.8005852,4.98,90156
90185,276.04310967,-34.3843146,1.79,90185
90289,276.33764809,-20.54160918,4.81,90289
90344,276.49578299,65.56354628,4.82,90344
90422,276.74345947,-45.96832919,3.49,90422
90496,276.99278955,-25.42124732,2.82,90496
90568,277.20723319,-49.07003097,4.1,90568
90595,277.29938301,-14.56580499,4.67,90595
90797,277.84344394,-62.27819116,4.63,90797
90830,277.93931691,-45.9147436,4.92,90830
90905,278.14384287,57.04561627,4.77,90905
90982,278.37566714,-42.31245871,4.62,90982
91117,278.80182442,-8.24330819,3.85,91117
91262,279.23410832,38.78299311,0.03,91262
91726,280.56842553,-9.05255357,4.7,91726
91792,280.75889095,-71.42772867,4.01,91792
91845,280.88016751,-8.27524299,4.88,91845
91918,281.08066463,-35.64192109,4.86,91918
91919,281.08473883,39.66997686,4.67,91919
91926,281.09489936,39.61259557,4.59,91926
91971,281.19306613,37.60505025,4.34,91971
92024,281.36190079,-64.87089771,4.78,92024
92041,281.41397083,-26.9907794,3.17,92041
92043,281.4155466,20.54712356,4.19,92043
92088,281.51861708,26.66207055,4.83,92088
92161,281.75509317,18.18122968,4.34,92161
92175,281.79365558,-4.74782871,4.22,92175
92420,282.51997462,33.36267788,3.52,92420
92512,282.80002755,59.38828895,4.63,92512
92609,283.05431892,-62.18756062,4.22,92609
92689,283.30642219,50.70828894,4.92,92689
92761,283.54239695,-22.7448202,4.86,92761
92782,283.59902616,71.29708956,4.82,92782
92791,283.62620294,36.89860518,4.22,92791
92818,283.68700483,22.64507357,4.57,92818
92855,283.81631956,-26.29659428,2.05,92855
92862,283.8336882,43.9458926,4.08,92862
92946,284.05483475,4.20352956,4.62,92946
92951,284.06088696,4.20205672,4.98,92951
93015,284.23766942,-67.23353511,4.4,93015
93026,284.26514217,-5.84621426,4.83,93026
93085,284.43241556,-21.10662433,3.52,93085
93148,284.61564682,-52.93860748,4.85,93148
93174,284.68114151,-37.10708855,4.83,93174
93194,284.73593568,32.68955312,3.25,93194
93244,284.90578844,15.06847757,4.02,93244
93279,285.00342257,32.14549051,4.94,93279
93429,285.42017236,-5.73901832,4.02,93429
93506,285.65301428,-29.88011429,2.6,93506
93542,285.77846922,-42.09499443,4.74,93542
93683,286.17055765,-21.74135451,3.76,93683
93747,286.3525518,13.86370983,2.99,93747
93805,286.56229139,-4.88233456,3.43,93805
93825,286.60433158,-37.06275714,4.23,93825
93864,286.73517629,-27.66981416,3.32,93864
94005,287.08722077,-40.4966376,4.57,94005
94114,287.36782635,-37.90423953,4.11,94114
94141,287.44097404,-21.02352534,2.88,94141
94160,287.50730185,-39.34070677,4.1,94160
94376,288.13814581,67.66131695,3.07,94376
94481,288.43953645,39.14596968,4.43,94481
94643,288.88498822,-25.25660677,4.86,94643
94648,288.8887238,73.35521457,4.45,94648
94703,289.05433156,21.39044277,4.76,94703
94713,289.09206426,38.13372778,4.35,94713
94779,289.27545794,53.36816064,3.8,94779
94820,289.40868994,-18.95288215,4.88,94820
95066,290.13682588,-5.41587489,4.98,95066
95081,290.16696656,65.7144303,4.6,95081
95168,290.41823037,-17.84725155,3.92,95168
95176,290.43175842,-15.95500233,4.52,95176
95241,290.65952718,-44.45891013,3.96,95241
95294,290.8044192,-44.79964788,4.27,95294
95347,290.97146411,-40.61564629,3.96,95347
95372,291.03154901,29.6213112,4.99,95372
95501,291.37396941,3.11457923,3.36,95501
95585,291.62954029,0.33857566,4.64,95585
95771,292.17671261,24.66516482,4.44,95771
95853,292.42641389,51.72946747,3.76,95853
95947,292.68035529,27.9596948,3.05,95947
96052,292.94300436,34.45297707,4.74,96052
96100,293.08577692,69.66540172,4.67,96100
96229,293.52178228,7.37931918,4.45,96229
96341,293.80414074,-48.09911061,4.88,96341
96441,294.11059344,50.22046347,4.49,96441
96465,294.17662107,-24.88356664,4.59,96465
96468,294.18031892,-1.28655047,4.36,96468
96483,294.2227024,-7.02747069,4.93,96483
96683,294.84418456,30.1532335,4.68,96683
96757,295.02409394,18.01393839,4.39,96757
96837,295.26222378,17.47612356,4.39,96837
97118,296.06896508,37.35426967,4.89,97118
97165,296.24350878,45.13069195,2.86,97165
97278,296.56487567,10.61326869,2.72,97278
97290,296.59091351,-19.76089482,4.87,97290
97365,296.84693842,18.53425912,3.68,97365
97433,297.04255658,70.26783533,3.84,97433
97649,297.6945086,8.86738491,0.76,97649
97679,297.76705681,22.61008676,4.9,97679
97804,298.11818257,1.00567827,3.87,97804
97886,298.36533677,24.07952568,4.57,97886
97938,298.56175736,8.46165027,4.71,97938
98032,298.81532954,-41.8684135,4.12,98032
98036,298.82819233,6.40793334,3.71,98036
98055,298.90759282,52.43902327,4.91,98055
98066,298.95927101,-26.29968718,4.7,98066
98068,298.96567172,38.48670392,4.95,98068
98073,298.98078459,58.84601982,4.98,98073
98110,299.07665069,35.08349079,3.89,98110
98162,299.23677038,-27.1698625,4.54,98162
98337,299.68911516,19.49209287,3.51,98337
98353,299.7382347,-26.19582739,4.84,98353
98412,299.93405965,-35.27624433,4.37,98412
98495,300.14747226,-72.91018443,3.97,98495
98543,300.27504217,27.75356392,4.66,98543
98608,300.43634274,-59.37582804,4.95,98608
98688,300.66441367,-27.70987972,4.43,98688
98702,300.7043634,67.87344872,4.51,98702
98761,300.88921406,-37.94049103,4.77,98761
98842,301.08151239,-32.05626941,4.99,98842
99120,301.84653576,-52.88080972,4.93,99120
99240,302.17441713,-66.17932101,3.55,99240
99255,302.22215174,77.71136178,4.38,99255
99303,302.35673642,36.83959003,4.93,99303
99473,302.82610327,-0.82147569,3.24,99473
99639,303.32517496,46.81567038,4.8,99639
99655,303.34917142,56.56752223,4.28,99655
99675,303.40792782,46.74132417,3.8,99675
99742,303.56910667,15.19746767,4.94,99742
99770,303.63326032,36.8061354,4.93,99770
99824,303.81621226,25.59196924,4.79,99824
99848,303.8679927,47.7142053,3.96,99848
99874,303.94232258,27.8142285,4.5,99874
100027,304.41190045,-12.50821403,4.3,100027
100044,304.44668519,38.0329471,4.77,100044
100064,304.5134103,-12.54485877,3.58,100064
100310,305.16586145,-12.75904403,4.77,100310
100345,305.25269347,-14.78140119,3.05,100345
100453,305.55708346,40.2566815,2.23,100453
100587,305.96498335,32.19018607,4.43,100587
100751,306.41187347,-56.73488071,1.94,100751
101027,307.21509857,-17.81366828,4.77,101027
101076,307.348879,30.36855661,4.01,101076
101093,307.39511383,62.99413722,4.21,101093
101101,307.41232775,-2.8854763,4.91,101101
101138,307.51471567,48.95155039,4.94,101138
101421,308.30318657,11.30333217,4.03,101421
101474,308.47578431,35.25086482,4.61,101474
101589,308.82711738,14.67418482,4.64,101589
101612,308.89486744,-60.58129819,4.75,101612
101692,309.18177937,-2.54991814,4.91,101692
101769,309.38695734,14.59520289,3.64,101769
101772,309.39162365,-47.29166239,3.11,101772
101773,309.39683225,-61.52974415,4.86,101773
101847,309.58447294,-1.10507951,4.31,101847
101867,309.63038481,21.20117964,4.81,101867
101958,309.90939395,15.9120527,3.77,101958
102098,310.3579727,45.28033423,1.25,102098
102281,310.86477381,15.07468224,4.43,102281
102333,311.00911122,-51.92084051,4.51,102333
102388,311.21884679,25.27104823,4.92,102388
102395,311.2398153,-66.20323826,3.42,102395
102422,311.32195263,61.83679404,3.41,102422
102431,311.33831928,57.58029799,4.52,102431
102453,311.41566302,30.7196568,4.22,102453
102485,311.52402547,-25.27051682,4.13,102485
102488,311.55180091,33.96945334,2.48,102488
102532,311.66465833,16.12477326,4.27,102532
102571,311.79468503,34.37410329,4.93,102571
102589,311.85219564,36.49073658,4.53,102589
102618,311.91888574,-9.49568988,3.78,102618
102624,311.93432462,-5.02760303,4.43,102624
102724,312.23455583,46.11414081,4.81,102724
102790,312.3705384,-46.22689249,4.9,102790
102831,312.49199793,-33.7796732,4.89,102831
102978,312.95540084,-26.91912642,4.12,102978
103004,313.0321898,27.09712771,4.56,103004
103045,313.16335749,-8.98323782,4.73,103045
103089,313.31143866,44.38726652,4.8,103089
103227,313.70241509,-58.4540947,3.67,103227
103413,314.29338184,41.16719384,3.94,103413
103632,314.95645946,47.52094507,4.74,103632
103738,315.32275695,-32.25776681,4.67,103738
104019,316.10135259,-19.85493122,4.82,104019
104060,316.23273251,43.92785122,3.72,104060
104139,316.48658082,-17.23271095,4.08,104139
104194,316.65036722,47.64840597,4.56,104194
104234,316.78202266,-25.00574796,4.49,104234
104459,317.39830336,-11.37165474,4.5,104459
104521,317.58529617,10.13194861,4.7,104521
104732,318.23408977,30.22708128,3.21,104732
104858,318.61995883,10.00771855,4.47,104858
104887,318.69727757,38.04432043,3.74,104887
104987,318.95581976,5.2480739,3.92,104987
105102,319.35396892,39.39469016,4.22,105102
105138,319.47944955,34.8968812,4.41,105138
105140,319.48436063,-32.17248551,4.71,105140
105199,319.64408982,62.58545529,2.45,105199
105319,319.96618253,-53.44926434,4.39,105319
105382,320.18993153,-40.80950852,4.8,105382
105502,320.52139118,19.80435581,4.08,105502
105515,320.56157261,-16.83455521,4.28,105515
105858,321.61038385,-65.36814438,4.21,105858
105881,321.66678212,-22.41137838,3.77,105881
106032,322.16489595,70.56069481,3.23,106032
106039,322.18048346,-21.80716659,4.5,106039
106140,322.48699859,23.63882922,4.52,106140
106278,322.88966951,-5.57115593,2.9,106278
106481,323.49530361,45.59206564,3.98,106481
106551,323.69365589,38.53382684,4.87,106551
106723,324.27009487,-19.46601352,4.51,106723
106786,324.43767522,-7.85414212,4.68,106786
106801,324.48011167,62.08194667,4.76,106801
106985,325.02225935,-16.66225343,3.69,106985
107089,325.36863801,-77.38946215,3.73,107089
107119,325.47948373,71.31118695,4.55,107119
107136,325.52358201,51.1896271,4.69,107136
107188,325.66423845,-18.86630105,4.72,107188
107259,325.87689561,58.78005308,4.23,107259
107310,326.03501874,28.74322228,4.49,107310
107315,326.04641808,9.87500791,2.38,107315
107348,326.12787716,17.35004352,4.34,107348
107354,326.16126755,25.64500284,4.14,107354
107380,326.2366159,-33.02555306,4.35,107380
107418,326.36220534,61.12081043,4.25,107418
107533,326.69835794,49.3095748,4.23,107533
107556,326.75952199,-16.12656595,2.85,107556
108085,328.48189202,-37.3648229,3.0,108085
108431,329.47929577,-54.9925666,4.4,108431
108870,330.82266498,-56.77980602,4.69,108870
108874,330.82845686,-2.15533588,4.74,108874
108917,330.94650782,64.62775425,4.26,108917
109068,331.4195499,5.05828453,4.86,109068
109074,331.44593869,-0.31982656,2.95,109074
109111,331.52876518,-39.54304903,4.47,109111
109139,331.60918894,-13.86954013,4.29,109139
109176,331.75197729,25.3450461,3.77,109176
109268,332.05781838,-46.96061593,1.73,109268
109285,332.0956383,-32.98839827,4.5,109285
109289,332.10803368,-34.04372111,4.99,109289
109400,332.45152906,72.34119936,4.79,109400
109410,332.49688603,33.17826747,4.28,109410
109422,332.53534803,-32.54844042,4.94,109422
109427,332.54924902,6.197789,3.52,109427
109492,332.71359131,58.20124992,3.39,109492
109754,333.46958944,39.71488928,4.5,109754
109857,333.75699582,57.04346522,4.18,109857
109908,333.90368669,-41.34675029,4.79,109908
109937,333.9923757,37.74873483,4.14,109937
110003,334.20819329,-7.78323706,4.17,110003
110130,334.62574257,-60.25949486,2.87,110130
110351,335.25636792,46.53656484,4.55,110351
110371,335.33053166,28.33051592,4.78,110371
110386,335.37946377,12.20517262,4.82,110386
110395,335.41374983,-1.38735315,3.86,110395
110538,335.89015172,52.22949951,4.42,110538
110609,336.1291488,49.47640074,4.55,110609
110672,336.31921857,1.37739245,4.8,110672
110838,336.83280453,-64.96637927,4.51,110838
110882,336.96448769,4.6964107,4.78,110882
110960,337.20750231,-0.02006304,3.65,110960
110991,337.29269975,58.4151899,4.07,110991
110997,337.31730866,-43.49555433,3.97,110997
111022,337.38259473,47.70689488,4.34,111022
111043,337.4393561,-43.74922804,4.12,111043
111104,337.62192333,43.12338985,4.52,111104
111123,337.66172918,-10.67788619,4.82,111123
111169,337.82239898,50.28244976,3.76,111169
111188,337.87620651,-32.34602798,4.29,111188
111310,338.2500526,-61.982073,4.91,111310
111497,338.83887054,-0.11736123,4.04,111497
111674,339.34360749,51.54537399,4.64,111674
111841,339.81532883,39.05028301,4.89,111841
111944,340.12825981,44.27628068,4.5,111944
111954,340.16385653,-27.0436148,4.18,111954
112029,340.36531181,10.83139111,3.41,112029
112051,340.43920724,29.3076892,4.8,112051
112122,340.66639531,-46.88456594,2.07,112122
112158,340.75053573,30.22130866,2.93,112158
112203,340.87486957,-41.41411843,4.84,112203
112211,340.89688564,-18.83030716,4.68,112211
112374,341.4077169,-53.50016316,4.84,112374
112405,341.51551393,-81.38161731,4.13,112405
112440,341.63267663,23.56567939,3.97,112440
112447,341.67267295,12.17408381,4.2,112447
112519,341.87061429,83.15371558,4.77,112519
112623,342.13832136,-51.31670354,3.49,112623
112716,342.39795761,-13.59253756,4.05,112716
112724,342.42046735,66.20071089,3.5,112724
112748,342.5004181,24.60168486,3.51,112748
112917,343.00811365,43.31236494,4.95,112917
112948,343.13149128,-32.87545019,4.46,112948
112961,343.15360192,-7.57967878,3.73,112961
113116,343.60160144,84.34611856,4.7,113116
113136,343.6626635,-15.82075994,3.27,113136
113186,343.80676809,8.81609536,4.91,113186
113246,343.98705005,-32.53970196,4.2,113246
113288,344.10832784,49.73355094,4.99,113288
113368,344.41177323,-29.62183701,1.17,113368
113638,345.22030979,-52.75410562,4.11,113638
113726,345.48019377,42.32597866,3.62,113726
113881,345.94305575,28.08245462,2.44,113881
113889,345.9691938,3.82006998,4.48,113889
113919,346.04513231,50.05168397,4.64,113919
113963,346.1900702,15.20536786,2.49,113963
114104,346.65337433,59.41976474,4.84,114104
114119,346.67003033,-23.7431168,4.48,114119
114131,346.71986858,-43.52032436,4.28,114131
114144,346.75106602,9.40952259,4.54,114144
114155,346.77807997,25.46833959,4.76,114155
114222,346.97432546,75.3875815,4.41,114222
114341,347.36150879,-21.17248555,3.68,114341
114375,347.47865379,-22.45759248,4.71,114375
114421,347.58928308,-45.24664747,3.88,114421
114570,348.13717883,49.40597489,4.53,114570
114724,348.58055219,-6.0485268,4.22,114724
114855,348.97198728,-9.08769554,4.24,114855
114939,349.21229368,-7.72646619,4.93,114939
114971,349.28955677,3.28224524,3.7,114971
114996,349.35755018,-58.23592762,3.99,114996
115022,349.43590129,49.01528336,4.82,115022
115033,349.47584844,-9.1824899,4.41,115033
115088,349.6558621,68.11141807,4.75,115088
115102,349.70594501,-32.53183574,4.41,115102
115115,349.74021218,-9.610731,4.99,115115
115250,350.1592632,23.7403592,4.58,115250
115438,350.7429228,-20.10034505,3.96,115438
115590,351.20936267,62.28283877,4.96,115590
115623,351.3444225,23.40401243,4.42,115623
115669,351.51173897,-20.64186122,4.38,115669
115738,351.73293881,1.25583758,4.95,115738
115830,351.99236589,6.37909727,4.27,115830
115919,352.28858456,12.76049243,4.54,115919
115990,352.50799782,58.54890978,4.89,115990
116231,353.2424506,-37.81835895,4.38,116231
116247,353.31927128,-20.91452506,4.7,116247
116310,353.48813881,31.32532196,4.97,116310
116389,353.76887742,-42.61510105,4.69,116389
116584,354.3904487,46.45917621,3.81,116584
116602,354.46223051,-45.49232134,4.74,116602
116631,354.53407969,43.2680761,4.29,116631
116727,354.83742516,77.63196681,3.21,116727
116758,354.94598676,-14.22204281,4.97,116758
116771,354.98675133,5.62735374,4.13,116771
116805,355.10184089,44.33397776,4.15,116805
116901,355.44082263,-17.81653327,4.82,116901
116928,355.51200741,1.7804172,4.49,116928
116971,355.68035357,-14.54474243,4.49,116971
117073,355.99765846,29.36155278,4.93,117073
117221,356.50849555,46.42029095,4.97,117221
117245,356.59807048,3.48687164,4.95,117245
117301,356.76411116,58.65185164,4.88,117301
117452,357.23116631,-28.1300148,4.59,117452
117863,358.59598888,57.49939052,4.51,117863
118131,359.43979002,25.14147936,4.63,118131
118209,359.66837736,-3.55580738,4.88,118209
118243,359.75220729,55.75494069,4.88,118243
118268,359.82750994,6.86359373,4.03,118268
