star_01,star_02,star_03,area,moment
20205,20885,20894,3.0423488892518466e-05,2.3671850474141855e-09
82514,85696,82545,3.100595160248192e-05,3.0929628003856574e-08
82514,85927,82545,3.2100366478547386e-05,3.71152025293921e-08
78384,82514,82545,3.3679914537132676e-05,5.924470902612361e-08
25930,26311,26727,3.805760089953512e-05,3.6210371149030493e-09
82514,88635,82545,3.8946622870420555e-05,1.8879637995748778e-07
17499,17573,17847,3.980127984680741e-05,5.893106860235277e-10
75141,82514,82545,4.11922105552846e-05,2.1633322834284187e-07
20885,22449,20894,4.670403076218463e-05,8.447746384376821e-08
42570,43023,44816,4.699415269406443e-05,2.2621581695208374e-08
20885,22549,20894,4.850485965495599e-05,1.1208199828621699e-07
82514,82545,89931,5.137769432913072e-05,3.4817677785103427e-07
82514,87261,82545,5.31891629368395e-05,1.1823962689017773e-07
20885,22797,20894,5.3902862089376495e-05,2.0085785115867757e-07
82396,82514,82545,5.397719479702871e-05,1.2916458744904813e-08
20885,21444,20894,5.7239619575285335e-05,3.5974148403107113e-07
18614,20885,20894,5.783750076257062e-05,4.246632874028074e-07
73334,82514,82545,6.12295377109319e-05,4.902496293514252e-07
82514,82545,82729,6.249114342489698e-05,2.0047585384623e-08
75264,82514,82545,6.35946208231285e-05,3.450342875409193e-07
18246,20885,20894,6.382875981692642e-05,3.3905769358579636e-07
73273,82514,82545,6.596607260927708e-05,5.358328925026186e-07
82514,86670,82545,6.840903447031705e-05,1.1309899456730017e-07
112440,112748,113881,7.059246320260268e-05,3.5078390783243224e-08
17573,17702,20455,7.490325769519195e-05,1.474018297560616e-07
62956,65378,65477,7.592611349917588e-05,2.5378433672825295e-08
45080,50371,45556,7.60556927758026e-05,8.524307909807404e-08
18532,20885,20894,7.689167949678625e-05,8.009357911416413e-07
33579,33856,34444,7.959631042835984e-05,1.1743530780380929e-08
82514,90185,82545,7.963185232600814e-05,4.7583081062156476e-07
57399,65378,65477,8.000565308289843e-05,3.8177444493808924e-07
82514,82545,90496,8.255145639549445e-05,7.839053100956038e-07
32759,33579,33856,8.504988683439449e-05,3.243771537105977e-08
85258,85727,85267,8.535181425832658e-05,3.389263193633801e-08
75177,82514,82545,8.554873489984167e-05,4.6708237348684564e-07
82514,82545,92041,8.711232086782327e-05,9.961266245482487e-07
82514,87073,82545,8.927447701777246e-05,1.8083726519852187e-07
17448,20885,20894,8.933749283740061e-05,5.527700788442546e-07
82514,82545,84143,9.065163463788983e-05,6.366430524248837e-08
82514,89642,82545,9.305800721632811e-05,4.5161876613835805e-07
20205,20885,21421,9.439258498219322e-05,1.8981112910492615e-08
20885,23875,20894,9.616018876243129e-05,8.594502894985768e-07
85696,85927,87261,9.704632575936042e-05,2.0845059105120813e-08
17847,20885,20894,9.976491452344901e-05,2.555049137122604e-07
73807,82514,82545,0.00010031030337674002,7.777729196862319e-07
17529,20885,20894,0.00010108504808803481,1.3366135338282948e-06
17702,20885,20894,0.00010483578053635383,2.8301660395534587e-07
18724,20885,20894,0.00010539282219378328,1.0252996766567747e-07
77634,82514,82545,0.00010637961483117277,3.091927935266447e-07
67464,68002,67472,0.00010894967761969534,5.2895272324863796e-08
17573,20885,20894,0.00010904503773769136,3.1604254616186486e-07
59449,60823,61622,0.00011177557671734103,4.5607639937217294e-08
51232,53253,54463,0.00011204794603051584,4.030053398122114e-08
17499,20885,20894,0.00011298268666524766,3.2834976439177994e-07
17573,17702,20885,0.0001132377870904429,3.152661632379671e-07
82514,86228,82545,0.00011422154411313071,1.8946858394703875e-07
61622,61932,66657,0.00011511379293137841,2.1677496684991703e-07
17573,17702,20894,0.00011622511909619479,3.2743198646309596e-07
45080,51576,45556,0.00011717721789277912,1.9588843761313783e-07
78104,78265,78401,0.00011761271784153717,6.579662542934163e-08
74376,82514,82545,0.00012003225997758086,8.833834158075713e-07
20885,24436,20894,0.00012016895318632682,1.4198487750015098e-06
18907,20885,20894,0.00012033245947444257,2.7903373315753317e-07
35904,37229,38170,0.00012039424175842829,7.867514204256217e-08
97278,97649,98036,0.00012097573331094123,3.5087293421895814e-08
43783,45101,48002,0.00012133625223392313,8.648879055481201e-08
20885,24674,20894,0.0001273760777544621,1.4096898518306564e-06
17573,17702,21421,0.0001295514816537372,4.206654435183189e-07
82514,85696,85927,0.0001317883612838586,1.4395846016377477e-07
82545,85696,85927,0.00013212203091218626,1.410156625203917e-07
25930,26311,26549,0.00013722838149805218,1.4404712692096523e-08
24436,24674,25930,0.0001393774222398136,1.6428099440953515e-07
82514,82545,89341,0.00014151771991909227,1.4109334815491384e-06
85696,86670,87073,0.00014224783185207493,3.5204680687757e-08
20885,20894,23015,0.00014325452993923902,8.140213039564464e-07
17573,17702,20889,0.0001447708149255121,2.9451010244079643e-07
82514,82545,84970,0.00014821353651298282,5.241765218666844e-07
17573,20889,17847,0.0001490611789618263,2.940879333135593e-07
20205,20894,21421,0.00015017754399525123,3.0293674748916563e-08
20885,25281,20894,0.00015049959669151563,1.3218671667902048e-06
81266,82514,82545,0.0001520755262427797,2.7677283079629827e-07
85258,85267,85792,0.00015329746695343693,9.96056286548042e-08
13209,17702,17847,0.00015481156265132528,4.7666732477344153e-07
74666,75695,76267,0.00015572755262278963,1.229810063515223e-07
58001,65378,65477,0.00015670069360776886,4.6226584081407756e-07
85696,85927,90185,0.00016151901165176443,3.2457728612082985e-07
78104,82514,82545,0.00016653786106759895,5.862050457931145e-07
74395,82514,82545,0.00016743609063320206,1.398235871652673e-06
20885,20894,25336,0.0001679562225325806,7.990855040991023e-07
45101,45556,45941,0.00016837777771825738,1.1918739123669929e-07
76600,82514,82545,0.00016857384267860383,8.460318125372962e-07
38827,45080,45556,0.00017004580102404624,4.3832590827509286e-07
24436,24674,25281,0.00017037275671337294,9.353680012078134e-08
26311,26549,26727,0.00017045566807518506,7.036857065012384e-09
26241,26549,26727,0.00017161756352965777,4.3294953540784155e-08
20885,25930,20894,0.00017941096169288073,1.5216647075894324e-06
14354,20885,20894,0.00018041589795404168,2.5674786508183455e-06
17573,17702,20205,0.00018166225190438052,4.1284990841853886e-07
59774,65378,65477,0.00018184802734705157,2.985360752800939e-07
