Numero de catalogacao(HIP),Ascensao  reta(alpha),Declinacao (delta),Magnitude visual(V)
44511,136.03883562,-47.09771376,3.75
44816,136.99907126,-43.43262406,2.23
45080,137.74210535,-58.96693014,3.43
45101,137.81986611,-62.31701587,3.96
45238,138.30100329,-69.71747245,1.67
45336,138.59080529,2.31502422,3.89
45556,139.27261834,-59.27526115,2.21
45688,139.71111394,36.80289763,3.82
45860,140.26441169,34.39252592,3.14
45941,140.52845511,-55.01069531,2.47
46390,141.8968826,-8.65868335,1.99
46651,142.67547063,-40.46688763,3.6
46701,142.80564072,-57.0343916,3.16
46733,142.88154025,63.06179545,3.65
46853,143.21802191,51.67860208,3.17
47431,144.96389156,-1.14265722,3.9
47508,145.28799116,9.89239902,3.52
47854,146.31178147,-62.50792328,3.69
47908,146.4629267,23.77427792,2.97
48002,146.7755734,-65.07201888,2.92
48319,147.74871542,59.03910437,3.78
48455,148.19149028,26.00708498,3.88
48774,149.2156452,-54.5677973,3.52
49583,151.83313948,16.76266572,3.48
49669,152.09358075,11.96719513,1.36
49841,152.64748785,-12.35383921,3.61
50099,153.43449551,-70.03792169,3.29
50191,153.68447399,-42.12206281,3.85
50335,154.17251805,23.4173284,3.43
50371,154.27085535,-61.33231977,3.39
50372,154.27469564,42.91446855,3.45
50583,154.99234054,19.84186032,2.01
50801,155.58251355,41.4994335,3.06
50954,156.09891874,-74.03154474,3.99
51069,156.52293768,-16.83609584,3.83
51232,156.96977108,-58.73940856,3.81
51576,158.0061825,-61.68536031,3.3
51624,158.20281305,9.30659431,3.84
51986,159.32606984,-48.22561631,3.84
52419,160.73927802,-64.39447937,2.74
52727,161.69217542,-49.42012517,2.69
52943,162.40596699,-16.19413208,3.11
53229,163.32766612,34.21556641,3.79
53253,163.3731926,-58.85326474,3.78
53910,165.4599615,56.38234478,2.34
54061,165.93265365,61.75111888,1.81
54463,167.14748181,-58.97504198,3.93
54539,167.41608092,44.49855337,3.0
54872,168.52671705,20.52403384,2.56
54879,168.56017036,15.4297631,3.33
55219,169.61981385,33.09423881,3.49
55282,169.83551103,-14.77904358,3.56
55425,170.25184266,-54.49101395,3.9
56211,172.85120199,69.33112161,3.82
56343,173.25107936,-31.85752405,3.54
56561,173.94553448,-63.01982488,3.11
57363,176.40236386,-66.72884344,3.63
57399,176.51305887,47.77933701,3.69
57632,177.26615977,14.57233687,2.14
57757,177.67202553,1.76537705,3.59
58001,178.45725536,53.69473296,2.41
59196,182.08976505,-50.72240999,2.58
59316,182.53135773,-22.61979211,3.02
59449,182.9131309,-52.36841559,3.97
59747,183.78648733,-58.74890179,2.79
59774,183.85603795,57.03259792,3.32
59803,183.95194937,-17.5419837,2.58
60129,184.97663096,-0.66674709,3.89
60260,185.34088036,-60.40136988,3.59
60718,186.64975585,-63.09905586,0.77
60823,187.01004828,-50.2306048,3.91
60965,187.4665965,-16.51509397,2.94
61084,187.79137202,-57.11256922,1.59
61199,188.11712896,-72.1329759,3.84
61281,188.37101041,69.78820992,3.85
61359,188.59680864,-23.39662306,2.65
61585,189.29618208,-69.13553358,2.69
61622,189.42636588,-48.54128816,3.85
61932,190.38002079,-48.95988553,2.2
61941,190.41667557,-1.44952231,2.74
62322,191.57029013,-68.10809405,3.04
62434,191.93049537,-59.68873246,1.25
62956,193.5068041,55.95984301,1.76
63090,193.90201366,3.39759862,3.39
63125,194.00767051,38.31824617,2.89
63608,195.54483557,10.95910186,2.85
63613,195.56573968,-71.54879865,3.61
64962,199.7302224,-23.17141246,2.99
65109,200.15027321,-36.71208109,2.75
65378,200.98091604,54.92541525,2.23
65474,201.2983523,-11.16124491,0.98
65477,201.30589832,54.98799884,3.99
65936,202.76111861,-39.40727983,3.9
66249,203.673978,-0.59593821,3.38
66657,204.97196962,-53.46636269,2.29
67301,206.8856088,49.31330288,1.85
67464,207.3762392,-41.68765971,3.41
67472,207.40419934,-42.47368506,3.47
67927,208.6713175,18.39858742,2.68
68002,208.88514539,-47.28826634,2.55
68245,209.56785278,-42.10070526,3.83
68282,209.6698807,-44.8035314,3.87
68702,210.95601898,-60.3729784,0.61
68756,211.09760837,64.37580873,3.67
68895,211.59278733,-26.68201883,3.25
68933,211.67218608,-36.36869575,2.06
69673,213.91811403,19.18726997,-0.05
69996,214.85096972,-46.05808391,3.55
71053,217.95774098,30.37114497,3.57
71075,218.01982421,38.30788348,3.04
71352,218.87688163,-42.15774562,2.33
71681,219.91412833,-60.83947139,1.35
71683,219.92041034,-60.83514707,-0.01
71795,220.28716819,13.72833113,3.78
71860,220.48239101,-47.38814127,2.3
71908,220.62785433,-64.97456957,3.18
71957,220.76484284,-5.6574291,3.87
72105,221.24687869,27.07417383,2.35
72220,221.56246594,1.8929383,3.73
72370,221.96552567,-79.04471242,3.83
72607,222.67664751,74.15547596,2.07
72622,222.71990536,-16.04161047,2.75
73273,224.63314193,-43.13386699,2.68
73334,224.79041254,-42.10414199,3.13
73555,225.48663804,40.39063671,3.49
73714,226.01775793,-25.28185602,3.25
73807,226.27960699,-47.05119386,3.91
74376,227.98400434,-48.73770212,3.88
74395,228.07167982,-52.09907465,3.41
74666,228.87543241,33.31510222,3.46
74785,229.25196591,-9.38286694,2.61
74946,229.72787007,-68.67946723,2.87
75097,230.1822884,71.83397308,3.0
75141,230.34306833,-40.64745946,3.22
75177,230.45181856,-36.26116729,3.57
75264,230.67036465,-44.68957314,3.37
75458,231.2324337,58.96602354,3.29
75695,231.95771631,29.10549164,3.66
76267,233.67162293,26.71491041,2.22
76276,233.7007926,10.53885916,3.8
76297,233.78525156,-41.16669497,2.8
76333,233.88141398,-14.78955365,3.91
76470,234.25607748,-28.13507099,3.6
76600,234.66410153,-29.77768935,3.66
76952,235.68599269,26.29551419,3.81
77070,236.06664914,6.42551971,2.63
77233,236.54672877,15.42192602,3.65
77516,237.40527375,-3.43014112,3.54
77622,237.70371344,4.4775798,3.71
77634,237.7397573,-33.62710488,3.97
77952,238.78670013,-63.42974973,2.83
78072,239.11247598,15.66473327,3.85
78104,239.22119438,-29.21401221,3.87
78265,239.71300283,-26.1140428,2.89
78384,240.03058543,-38.39664079,3.42
78401,240.08338225,-22.62162024,2.29
78820,241.35931206,-19.80539286,2.56
78933,241.70180197,-20.66913479,3.93
79593,243.58652601,-3.69397562,2.73
79664,243.85944228,-63.68564897,3.86
79882,244.58016994,-4.69260809,3.23
79992,244.93519958,46.31327084,3.91
80112,245.29717718,-25.59275259,2.9
80170,245.48018203,19.15302185,3.74
80331,245.99794523,61.51407536,2.73
80763,247.35194804,-26.43194608,1.06
80816,247.55525697,21.4896485,2.78
80883,247.72850509,1.98410056,3.82
81065,248.36443409,-78.89695917,3.86
81266,248.97066423,-28.21596156,2.82
81377,249.28970847,-10.5671518,2.54
81693,250.32282132,31.60188695,2.81
81833,250.72391068,38.92246103,3.48
82273,252.16610742,-69.02763503,1.91
82363,252.44629764,-59.04131648,3.77
82396,252.54268738,-34.29260982,2.29
82514,252.96766195,-38.04732717,3.0
82545,253.08397295,-38.01747781,3.56
82729,253.64627156,-42.36075916,3.62
83000,254.41779418,9.37505626,3.19
83081,254.65512817,-55.99005508,3.12
83207,255.07252582,30.92633926,3.92
83895,257.19677111,65.71463676,3.17
84012,257.59442659,-15.72514757,2.43
84143,258.038233,-43.23849039,3.32
84345,258.66192687,14.39025314,2.78
84379,258.75801735,24.83958739,3.12
84380,258.76189282,36.80915527,3.16
84970,260.50243371,-24.99948797,3.27
85258,261.32498828,-55.52982397,2.84
85267,261.34858274,-56.37768824,3.31
85670,262.60823708,52.30135901,2.79
85696,262.69099501,-37.29574016,2.7
